T,H1,T2,H2,T3,H3,t,h1,t2,h2,t3,h3
4,76.94587,4,78.84852,4,84.6457,4,1,4,1,4,1
5,63.93416,5,65.64488,5,68.16495,5,0.8309,5,0.83254,5,0.8053
6,53.51895,6,55.20996,6,60.39511,6,0.69554,6,0.7002,6,0.7135
7,46.60465,7,52.21923,7,54.03687,7,0.60568,7,0.66227,7,0.63839
8,40.74063,8,45.28438,8,47.02712,8,0.52947,8,0.57432,8,0.55558
9,34.07431,9,39.38127,9,41.4169,9,0.44283,9,0.49945,9,0.4893
10,27.09069,10,34.52295,10,35.43268,10,0.35207,10,0.43784,10,0.4186
12,20.7387,12,21.43528,12,26.17031,12,0.26952,12,0.27185,12,0.30917
14,8.41189,14,9.38579,14,12.55134,14,0.10932,14,0.11904,14,0.14828
16,3.50003,16,4.44312,16,5.21499,16,0.04549,16,0.05635,16,0.06161
16.5,2.07705,16.5,2.79251,16.5,3.75699,16.5,0.02699,16.5,0.03542,16.5,0.04438
17,0.68835,17,0.93098,17,1.19888,17,0.00895,17,0.01181,17,0.01416
17.5,0.24148,17.5,0.34524,17.5,0.39965,17.5,0.00314,17.5,0.00438,17.5,0.00472
18,0.24121,18,0.34473,18,0.39902,18,0.00313,18,0.00437,18,0.00471