delta_r,delta_s,delta_Ne
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.25773237198252086,0.002283266779913147
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.13083035219205996,-0.020358029492668413
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.23568918195200927,0.21712637785379357
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.096727992442313,-0.07088599806259613
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.1631772152654909,0.04053079189255249
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.2992313964304032,0.09753176272019
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.07856649823112805,0.15857972801015044
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.11023402009812089,-0.03842627645892064
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.13522978284560971,0.17735241419730455
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.23883049267390355,0.15073488848256053
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.30788213991283775,0.13727824214489423
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.12204773257190338,0.023578781560995382
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.1553991889171089,0.06004844618187198
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.164075040336771,0.03482023525411319
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.1476481399212357,0.16845846410154008
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,0.417330925114199,0.5500314210641127
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.16220604278187256,-0.016197595733902715
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.09308913110508432,0.06308640516544199
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.02177240812306147,-0.1416252925480768
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.2559696735988066,-0.04733474569607194
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.008987681102415879,-0.2124751577186479
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.27401434670085956,-0.009640257433699607
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.20014420598394023,0.2400281542297917
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.13841231637131424,-0.05501438687231258
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.26094355428214655,0.1254980236076583
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.18442335502577767,0.09011368240705264
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.5307986881805846,0.3649042657336104
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.3605715313581981,0.3104987814376133
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.12852164270113686,-0.029574580794544697
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.17929163780306778,-0.12395548190520583
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.2276672416792791,0.09253443972470787
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.18145844522329058,0.13946677410524957
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.13485204207187662,0.058421303950805296
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.246611942764978,0.1322666776614024
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.3501034831146923,0.17162207894604278
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.12774682944668858,0.0038837457132736373
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.1246765395373024,0.273919564671352
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.3444029256190959,0.016512128203016407
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.3349193088818072,0.3251277724682298
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,0.29768399246686217,-0.40490383413852726
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.174316710561095,0.005525097134702489
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.4462805615003791,0.2902502547117414
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.09636648021539207,0.01218558616735483
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.11240015752876009,0.052736198714038625
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,0.14816663481819958,0.11497727635001886
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.133832446442244,-0.18757867145993815
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.2962493041471286,0.1954511471192028
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.17703732173320108,0.19663047395889882
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.14434283323106034,0.006393391718844768
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.43453379386934166,0.16492443492392947
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.17925810036934675,-0.006986796155559163
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.1972625661380003,0.11067706515794425
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.188123990640223,0.05585274987116484
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.168090134712213,-0.12022532905740328
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.39858753011445314,0.3511909522045033
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.1367558776217237,-0.15706066102569036
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.501907608732211,0.474212269121731
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.13369815625440218,0.33041198905179014
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.1810946009954093,-0.4209790701693097
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.12991452292167516,-0.3587911956456741
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.161266724052455,-0.05220753282251898
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.292692748431824,0.1482889203068997
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.11391972919002802,-0.005034662283891767
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,0.016667821880066658,0.032877080195275306
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.19813101666011135,0.07192183205847325
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.17571748891262406,0.05429905997109409
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,0.3672012544604435,0.07806141509678007
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.14572473468955294,0.0696196612400793
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.5641706675452378,0.18041571474605966
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.20405892425045646,0.03938575364153391
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.1549690341983878,-0.26492405182287
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,0.0700577649598213,0.08828571806288649
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.08475008924014715,0.03330223575560177
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.5978030130768222,0.3136512121255837
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.176026230340929,-0.08059993759960701
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,0.25360724598763573,0.11007208678987937
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.3432967749730773,0.28504951502349757
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.3321802397035889,0.5893065919966091
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.13356660246578667,-0.1616874930537903
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.02026894004244717,-0.3062376742283518
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.01131546037700315,-0.0023381197449893077
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.19524152465232336,0.21559461926502285
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.10980170964641078,0.0607996584643039
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.15389991313899887,0.044084548296937
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,0.10799374098484638,0.21052264341530888
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.5180483297376015,0.377878126031112
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.16681168062287632,0.04991842797531392
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,0.3315875489047151,0.7334579677456601
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.5995103491720623,0.33451091870501837
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.3005345191520159,0.13540206485221537
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.4432815424678648,0.2746647630544274
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.14515187789384165,0.14755278525956425
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.48575343207142985,0.23625167629120467
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.4104190535301103,0.2895818781430405
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.23208961425564612,0.03347854931937283
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.16168908927287884,0.006694052669304629
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.2630735221087861,0.11254152412973192
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.09313249613334817,0.09945711645595177
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,0.018777656667370524,-0.11044577169833425
<built-in method tolist of numpy.ndarray object at 0x0000017FBA094ED0>,-0.06933581737581895,-0.21498294812968602
